BLD_DESC_RV_MODEL,cluster,emb_x,emb_y,BLD_AGE_GRP,DEMO_EDUCATION,GENERATION_GRP,DEMO_GENDER1,BLD_HOBBY1_GRP,DEMO_INCOME,BLD_LIFESTAGE,DEMO_LOCATION,DEMO_MARITAL,DEMO_EMPLOY,ADMARK_STATE,BLD_CHILDREN,DEMO_EMPTY_NESTER
Wrangler,2,1.90240783,-1.268014466,9,1,2,1,NA,13,NA,NA,NA,NA,41,NA,NA
Wrangler,2,1.232333845,-1.754483892,8,11,2,2,NA,11,NA,NA,NA,NA,42,NA,NA
Wrangler,2,2.310207481,1.444813631,9,13,2,1,NA,10,NA,NA,NA,NA,32,NA,NA
Wrangler,2,1.789977682,-1.0755648,6,11,1,1,1,14,9,1,4,5,4,0,2
Wrangler,2,1.288718061,-1.45852323,11,11,3,1,NA,31,NA,NA,NA,NA,9,NA,NA
Wrangler,2,0.783570629,-1.616160168,10,13,3,2,NA,20,NA,NA,NA,NA,41,NA,NA
Wrangler,2,2.049499361,0.792259272,10,14,3,2,7,13,10,1,4,11,27,0,1
Wrangler,1,-2.90969423,9.11187977,12,15,4,1,NA,12,NA,NA,NA,NA,5,NA,NA
Wrangler,2,0.732629948,-1.405939347,6,13,1,1,11,13,4,4,1,13,13,0,2
Wrangler,2,2.272856027,1.420438901,13,15,4,1,NA,12,NA,NA,NA,NA,13,NA,NA
Wrangler,2,0.558559518,-2.364765317,11,16,4,1,NA,28,NA,NA,NA,NA,24,NA,NA
Wrangler,1,-2.965388129,9.107624175,11,16,4,1,7,14,10,2,3,22,30,0,1
Wrangler,2,1.828484082,-1.201421885,9,11,2,1,1,20,5,3,1,1,39,0,1
Wrangler,2,0.912535582,-1.289234146,10,13,3,1,NA,16,NA,NA,NA,NA,48,NA,NA
Wrangler,2,2.389022721,1.472040795,8,NA,2,1,NA,15,NA,NA,NA,NA,23,NA,NA
Wrangler,2,1.925821101,0.442379696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA
Wrangler,2,1.704617386,-1.665486748,10,13,3,1,NA,14,NA,NA,NA,NA,42,NA,NA
Wrangler,2,-4.050512197,-3.302467311,11,16,4,1,NA,23,NA,NA,NA,NA,10,NA,NA
Wrangler,2,2.096733484,0.833139096,NA,NA,NA,NA,11,NA,NA,2,4,4,18,0,2
Wrangler,2,-3.382904357,-3.797466769,7,13,1,1,7,20,5,2,1,7,29,0,2
Wrangler,2,-3.707131006,-3.388774719,10,12,2,1,8,28,6,3,1,22,32,0,1
Wrangler,2,0.448748747,-2.195101256,7,13,1,1,NA,28,NA,NA,NA,NA,48,NA,NA
Wrangler,2,1.540847397,0.363187427,10,14,2,1,4,27,10,2,4,23,2,0,1
Wrangler,2,1.231076043,-1.760468631,8,11,2,1,NA,23,NA,NA,NA,NA,4,NA,NA
Wrangler,2,1.001844069,-1.604244722,7,11,2,2,NA,15,NA,NA,NA,NA,48,NA,NA
Wrangler,2,0.508626467,-1.863633062,11,13,4,1,NA,12,NA,NA,NA,NA,39,NA,NA
Wrangler,2,-3.947957693,-3.427552984,7,11,2,1,NA,33,5,1,1,11,5,0,2
Wrangler,2,-2.655330835,-3.595029034,13,15,5,1,1,14,6,3,1,22,1,0,1
Wrangler,2,1.207802444,-1.111620896,10,11,3,1,NA,30,NA,NA,NA,NA,22,NA,NA
Wrangler,2,0.615465353,2.322332416,7,16,2,1,NA,16,5,2,1,2,32,0,2
Wrangler,2,-4.433508709,-3.527143923,11,16,4,1,3,13,10,3,3,22,32,0,1
Wrangler,2,0.298391834,-2.486903594,9,13,2,1,NA,10,NA,NA,NA,NA,13,NA,NA
Wrangler,2,-3.681229412,-3.499221066,7,11,2,2,11,32,5,2,1,10,4,0,2
Wrangler,2,2.07215647,0.821236471,10,16,3,2,11,16,6,2,1,10,17,0,2
Wrangler,2,-2.723775007,-3.49183963,11,16,4,1,4,12,10,2,3,22,2,0,1
