"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",3,1.32711600575138,-0.973368739945053,5,11,1,1,NA,30,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",1,-10.8747913372631,2.52641235376553,13,14,4,1,7,12,6,4,1,22,35,0,1,1,67,10000,NA,680,NA,72,1,53000,25,949994,1,2,3,3,4,3,3,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,2,2,2,4
"F-150 Lightning EV",1,-10.6819590890665,2.56270582311883,10,11,3,1,4,29,7,2,3,5,4,1,2,1,19,NA,NA,950,NA,78,NA,74000,82,346380,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,3,4,5,5,5,5,5,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",1,-9.66856594256876,1.7401055983017,10,16,2,1,1,26,10,1,2,23,14,0,1,1,58,38000,NA,195,NA,60,NA,49000,30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,4,5,5,4,3,2,4,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",1,-9.98845693128205,2.11502422344073,11,16,4,1,6,30,6,2,1,11,48,0,1,NA,NA,NA,NA,560,36,NA,NA,NA,47,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,2,2,3,4,1,4,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"F-150 Lightning EV",3,1.25817616107053,0.473772597080015,10,14,3,1,NA,16,NA,NA,NA,NA,22,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",1,-10.9497468779303,2.55112665203463,10,12,3,1,3,20,6,2,1,12,13,0,2,1,NA,NA,NA,389,36,NA,1,NA,12,779440,7,2,3,3,4,3,3,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,2,3,3,3
"F-150",1,-10.0189498540901,1.86912201071487,10,16,3,1,7,14,6,3,1,3,30,0,1,NA,19,25000,NA,1400,NA,36,1,65000,55,NA,10,2,3,3,4,2,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,1,2
"F-150",1,-9.97755027456711,1.39138021696071,10,15,3,1,7,28,6,2,1,23,23,0,2,NA,NA,NA,NA,NA,NA,NA,NA,57058,22,NA,33,2,3,2,3,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,3,1,1,4
"F-150 Lightning EV",1,-10.4948687576863,2.91815997511753,6,11,1,1,NA,30,NA,NA,NA,NA,34,NA,NA,1,0,NA,NA,1750,NA,60,1,83000,10,949994,NA,2,3,3,4,2,2,2,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,3,2,4,1,4
"F-150 Lightning EV",3,3.24454600429549,3.82058468911452,8,16,2,1,NA,29,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.91739112740985,2.92942260634013,5,11,1,2,1,23,4,2,1,11,43,0,2,NA,65,25000,60000,550,NA,72,1,114000,53,NA,1,2,4,4,4,4,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,3,3,1,2
"F-150 Lightning EV",2,-2.56543240679461,-11.9898448679745,9,11,2,1,NA,12,5,2,1,5,2,0,1,1,NA,NA,NA,NA,NA,NA,1,70000,82,NA,32,2,3,3,2,3,4,1,2,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,4,1,1,1,4
"F-150",3,1.44081056115277,0.419196325294827,8,11,2,1,7,28,5,2,1,13,4,0,2,1,49,4000,NA,583,NA,84,1,48967,26,NA,23,2,4,4,4,4,3,4,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,1,3,1,4
"F-150",1,-10.6210845827388,3.1400350656251,12,13,4,1,11,26,6,2,1,22,21,0,1,NA,NA,NA,NA,535,24,NA,1,NA,53,NA,1,2,3,3,4,3,2,1,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,1,3,2
"F-150",3,2.5937566718717,0.974965468205563,11,15,4,1,NA,26,NA,NA,NA,NA,4,NA,NA,1,43,10000,500,650,NA,94,1,46000,23,NA,NA,NA,3,3,4,4,4,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,3,3,3,2
